titulo,valor
Betoneira Cs-250L Painel Mono 1Cv 127V Csm,"3.165,31"
Betoneira Cs-250L Painel Trif 1Cv 380V Csm,"2.833,76"
Betoneira Cs-250L Painel Trif 1Cv 220V Csm,"2.833,76"
"Betoneira Cs-130L Painel Mono 0,33Cv 220V Mont Csm","1.490,46"
"Betoneira Cs-200L Painel Mono 0,75Cv 127V Csm","2.399,61"
"Betoneira Cs-130L Painel Mono 0,33Cv 127V Mont Csm","1.490,46"
"Betoneira Cs-150L Painel Mono 0,5Cv 220V Csm","1.590,78"
"Betoneira Cs-150L Painel Mono 0,5Cv 127V Csm","1.590,78"
"Betoneira Cs-120L Painel Mono 0,33Cv 220V  Csm","1.377,41"
"Betoneira Cs-120L Painel Mono 0,33Cv 127V Csm","1.377,41"
Betoneira Cs-400L Painel Mono 2Cv 220V Csm,"3.348,66"
Betoneira Cs-400L Painel Mono 2Cv 127V Csm,"3.348,66"
Betoneira Cs-400L Painel Trif 2Cv 380V Csm,"3.328,71"
Betoneira Cs-400L Painel Trif 2Cv 220V Csm,"3.328,71"
Compressor De Ar Portatil 12V 50W Tramontina,"47,41"
Kit Acessorios 4 Pecas Motocompressor Garthen,"120,56"
Conjunto De Talheres Inox 24 Pcs N.Kolor Azul Tramontina,"58,81"
Conjunto De Talheres Inox 24 Pcs N.Kolor Verde Tramontina,"57,95"
Conjunto De Panelas Alumínio 5 Pcs Paris Preto Tramontina,"297,26"
"Panela De Pressao 4,5L Vancouver Graf Tramontina","226,96"
Bomba Submersa Fire 950W 220V Rayma,"265,91"
Bomba Submersa Sapeca 280W 220V Rayma,"169,10"
Chave Boia Automatica 16A Rayma,"47,41"
BOMBA PERIFERICA XKM80 1HP 60L 220V 98464 AMANCO,"303,91"
BOMBA PERIFERICA XKM60 1/2HP 40L 220V 98463 AMANCO,"226,96"
Bomba Submersa Fire 950W 110V Rayma,"275,41"
Ventilador Axial Exaustor 25Cm 127V Ventisol,"132,91"
Micro Ventilador Exaustor 100Mm 127V Ventisol,"70,21"
MICRO VENTILADOR 20CM PREMIUM 127V VENTISOL,"47,41"
Umidificador de Ar Ultrassônico 2 Litros Bivolt Elgin,"81,61"
Jogo De Utensilios Inox 6 Pcs Utilita Bco Tramontina,"123,41"
Jogo De Utensilios Inox 6 Pcs Utilita Verm Tramontina,"123,41"
Jogo De Utensilios Inox 6 Pcs Utilita Azul Tramontina,"123,41"
Jogo De Utensilios Inox 6 Pcs Utilita Pto Tramontina,"123,41"
Kit Para Pizza 14 Pcs Vermelho Tramontina,"116,76"
Kit Para Pizza 14 Pcs Preto Tramontina,"116,76"
Conjunto De Talheres Inox 24 Pcs N.Kolor Preto Tramontina,"57,95"
Conjunto Caixa De Talheres Inox 24 Pcs Brisa Cz Cl Tramontina,"60,71"
"Grelha Aco Inox 83,5X57 Cm  26490/002 Tramontina","473,01"
"Grelha Aco Inox 83,5X62 Cm 26490/001 Tramontina","490,11"
Grelha Plana Aco Inox 26489/001 Tramontina,"150,96"
"Grelha Aco Inox 75,5X18 Cm 26486/000 Tramontina","173,76"
Grelha Para Vegetais 30Cm 20889/030 Tramontina,"167,11"
"Grelha Aco Inox 75,5X27 Cm 26484/000 Tramontina","245,96"
"Grelha Aco Inox 79,3X34 Cm 26492/002 Tramontina","639,26"
Grelha Plana Aco Inox Peixe 26487/001 Tramontina,"125,31"
"Grelha Aco Inox 83,5X47 Cm 26490/003 Tramontina","421,71"
Grelha Aco Inox Peixe 71X16Cm 26483/000 Tramontina,"169,01"
Grelha Plana Aco Inox 56X18Cm 26481/003 Tramontina,"83,51"
Grelha Plana Aco Inox 72X23Cm 26481/002 Tramontina,"107,26"
Grelha Plana Aco Inox 83X27Cm 26481/001 Tramontina,"150,01"
Grelha Aco Inox 56X17 Cm 26480/003 Tramontina,"83,51"
Grelha Aco Inox 72X22 Cm 26480/002 Tramontina,"107,26"
Grelha Aco Inox 83X27Cm  26480/001 Tramontina,"150,01"
Faqueiro Inox 24 Pcs Nat/Medio Carmel Tramontina,"94,91"
Faqueiro Inox 24 Pcs Nat/Escur Carmel Tramontina,"94,91"
Faqueiro Inox 24 Pcs Purp/Clar Carmel Tramontina,"94,91"
Faqueiro Inox 24 Pcs Purp/Medio Carmel Tramontina,"94,91"
Faqueiro Inox 24 Pcs Turq/Claro Carmel Tramontina,"94,91"
Faqueiro Inox 24 Pcs Turq/Medi Carmel Tramontina,"94,91"
Faqueiro Inox 24 Pcs Turq/Escu Carmel Tramontina,"94,91"
"Caldeirão Alumínio 22Cm 20530722 Vermelha Tramontina, ","139,56"
"Caldeirão Alumínio 20Cm 20530720 Vermelha Tramontina, ","118,66"
"Caldeirão Alumínio 18Cm 20530718 Vermelha Tramontina, ","104,41"
"Caldeirão Alumínio  28Cm 20530628 Cinza Tramontina, ","218,41"
"Caldeirão Alumínio 26Cm 20530626 Cinza Tramontina, ","177,56"
"Caldeirão Alumínio 22Cm 20530622 Cinza Tramontina, ","139,56"
"Caldeirão Alumínio 20Cm 20530620 Cinza Tramontina, ","118,66"
"Caldeirão Alumínio  16Cm 20530616 Cinza Tramontina, ","81,61"
Conjunto Caixa De Talheres Inox 24 Pcs Brisa Azul Tramontina,"60,71"
Conjunto Pote De Talheres Inox 24 Pcs Brisa Verde Tramontina,"58,81"
Conjunto Pote De Talheres Inox 24 Pcs Ipan Branc Tramontina,"59,76"
Conjunto Pote De Talheres Inox 24 Pcs Ipan Laran Tramontina,"59,76"
Conjunto Pote De Talheres Inox 24 Pcs Ipan Verde Tramontina,"59,76"
Conjunto Pote De Talheres Inox 24 Pcs Ipan Preto Tramontina,"59,76"
Conjunto De Talheres Inox 24 Pcs Ipanema Azul Tramontina,"75,91"
Conjunto De Talheres Inox 24 Pcs Ipanema Preto Tramontina,"75,91"
Conjunto De Utensílios Nylon 5 Pcs Utilita Preto Tramontina,"49,40"
Conjunto Espatulas Inox 6 Pcs Ipanema Amar Tramontina,"15,11"
Conjunto Espatulas Inox 6 Pcs Ipanema Larnj Tramontina,"15,11"
Conjunto Espatulas Inox 6 Pcs Ipanema Creme Tramontina,"15,11"
Conjunto Espatulas Inox 6 Pcs Ipanema Azul Tramontina,"15,11"
Conjunto Espatulas Inox 6 Pcs Ipanema Preto Tramontina,"15,11"
Conjunto Espatulas Inox 6 Pcs Polywood Marr Tramontina,"52,16"
Conjunto Espatulas Inox 6 Pcs Polywood Verm Tramontina,"52,16"
Conjunto De Talheres Inox 24 Pcs N.Kolor Bco Tramontina,"57,95"
Conjunto De Talheres Inox 24 Pcs N.Kolor Verm Tramontina,"57,95"
Conjunto De Talheres Inox 24 Pcs N.Kolor Creme Tramontina,"57,95"
Faqueiro Inox 27 Pcs Tulum Multip Verm Tramontina,"113,91"
Faqueiro Inox 27 Pcs Tulum Multip Cz Es Tramontina,"113,91"
Faqueiro Inox 27 Pcs Tulum Multp Amar Tramontina,"113,91"
Faqueiro Inox 27 Pcs Tulum Multip Az Tramontina,"129,11"
Faqueiro Inox 16 Pcs Tulum Preto Tramontina,"54,06"
Faqueiro Inox 24 Pcs Vermelho Cor&Cor Tramontina,"121,51"
Faqueiro Inox 24 Pcs Cinza Cor&Cor Tramontina,"121,51"
Faqueiro Inox 24 Pcs Preto Cor&Cor Tramontina,"121,51"
Faqueiro Inox 24 Pcs Carm/Clar Carmel Tramontina,"94,91"
Faqueiro Inox 16 Pcs Tulum Branco Tramontina,"54,06"
Faqueiro Inox 24 Pcs Azul Cor&Cor Tramontina,"121,51"
Conjunto Facas Inox 6 Pcs Color Cut Tramontina,"236,46"
Conjunto Facas Inox 3 Pcs Color Cut Tramontina,"106,40"
Conjunto Facas Inox 6 Pcs Dynamic Tramontina,"192,76"
Conjunto De Talheres Inox 24 Pcs Tradicional Tramontina,"134,90"
Conjunto Facas Inox 6 Pcs Tradicional Tramontina,"207,96"
Conjunto Facas Inox 8 Pcs Tradicional Tramontina,"207,96"
Conjunto De Talheres Inox 24 Pcs Polywood Marr Tramontina,"184,21"
Conjunto Facas Inox 4 Pcs Polywood Marr Tramontina,"98,71"
Conjunto Facas Inox 4 Pcs Polywood Verm Tramontina,"98,71"
"Caçarola Alumínio 20Cm 20525720 Vermelha Tramontina, ","97,76"
Caçarola Alumínio 26Cm 20520726 Vermelha Tramontina,"149,06"
Conjunto De Panelas Alumínio 7 Pcs Paris Preto Tramontina,"446,41"
Jogo De Panelas Alumínio 7 Pcs Verm Bergamo Tramontina,"379,91"
Jogo De Panelas Alumínio 5 Pcs Verm Bergamo Tramontina,"284,91"
Conjunto De Panelas Alumínio 7 Pcs Paris 20599/761 Tramontina,"446,41"
Conjunto De Panelas Alumínio 5 Pcs Paris 20599/760 Tramontina,"297,26"
"Caçarola Alumínio 24Cm 20520724 Vermelho Tramontina, ","134,90"
Anel Silicone 24Cm Para Panela De Pressao Tramontina,"22,71"
Vedacao Int Silicone Panela De Pressao Tramontina,"17,01"
"Panela De Pressao 6,0L Vancouver Graf Tramontina","270,66"
Anel Silicone 20Cm Para Panela De Pressao Tramontina,"20,81"
Panela De Pressao 3L Vancouver Vermelho Tramontina,"208,91"
Filtro P/Panela De Pressao Aco Inox Tramontina,"13,21"
Panela De Pressao 3L Vancouver Grafite Tramontina,"208,91"
"Panela De Pressao 6,0L Vancouver Verm Tramontina","270,66"
"Panela De Pressao 4,5L Vancouver Verm Tramontina","226,96"
AQUECEDOR VERSATIL 220V 5500W 7560027 LORENZETTI,"151,91"
Ventilador Osc Mesa Turbo 40Cm 127V 6P Ventisol,"133,95"
Ventilador Oscilante Parede 60Cm Preto Grade Aco Bivolt Ventisol,"170,91"
Climatizador Portatil Cla-01 127V Ventisol,"427,31"
Ventilador Osc Parede 50Cm Pr Gr Aco Bv Ventisol,"161,41"
Ventilador Teto Wind Light Br 3P Cv3 127V Ventisol,"132,91"
Ventilador Teto Aires Br 3P Cv3 127V Ventisol,"180,41"
Conjunto de Sobrepor 2 Interruptor Simples  6319 Ilumi,"11,31"
Conjunto de Sobrepor 1 Interruptor Simples +1 Interruptor Paralelo 6323 Ilumi,"11,31"
Cruzeta Sistema X Bco 6207 Ilumi,"1,52"
Extensao Cabo Pp 2P+T 10A 5M Bco 169950 Ilumi,"24,51"
Conjunto Stylus Tomada Para Telefone Rj45 Rj45 2554 Ilumi,"15,68"
Conjunto Stylus 1 Interruptor Simples +1 Interruptor Paralelo + Tomada 2029 Ilumi,"16,06"
Conjunto Stylus 1 Interruptor Simples +1 Interruptor Paralelo +1 tomada 2029 Ilumi,"18,53"
Interruptor Paralelo Stylus 2022/0 Ilumi,"5,61"
Conjunto Stylus Interruptor Intermediario 2032 Ilumi,"15,11"
Conjunto Stylus Interruptor Bipolar 2031 Ilumi,"11,88"
Conjunto de Sobrepor 2 Interruptor Simples 6318 Ilumi,"8,46"
Placa 4X2 Cega Liz 57106/001 Tramontina,"5,23"
Extensão Jack+Jack Com 5M-Bl 1661B Ilumi,"9,98"
"Extensão Jack+Jack Com 1,75M-Bl 1660B Ilumi","4,74"
Fio Cabo Flex Sil 10mm Rolo Verde 100Mt Sil ,"512,91"
Ducha Acqua Wave 7800W 220V Lorenzetti,"233,61"
"Ducha Higienica Flex 1,20M 7040103 Lorenzetti","145,26"
"Ducha Higienica Flex 1,20M 7040101 Lorenzetti","135,76"
Ducha Duo Shower Turbo 6800W 220V Lorenzetti,"233,61"
Resistência para Loren Easy 127V 4800W 3056P1 Lorenzetti,"25,56"
Resistência para Evolution 220V 7500W 3055-U Lorenzetti,"24,61"
Resistência Para Tradição/Jet4/Lorenducha e Jetcontrol 220V 5700W 055-N Lorenzetti,"25,56"
"Fio Cabo Indusflex 10,00mm Azul 100Mt","427,31"
Disjuntor Bipolar 25A Tr3Ka Curva C Tramontina,"30,31"
Disjuntor Bipolar 20A Tr3Ka Curva C Tramontina,"30,31"
Resistência Para Aquecedor Versatil 220V 775G Lorenzetti,"30,88"
Resistencia para Ducha Higienica 220V / 4300W  Lorenzetti,"26,51"
Aquecedor De Água A Gás 20L Bivolt Lz2000 Lorenzetti,"1.329,91"
Aquecedor A Gás Lz 2300 Gn Com Vazão De 23 Litros/Minuto Bivolt - Lorenzetti,"2.782,55"
Aquecedor A Gás Lz 1600D Gn - Lorenzetti,"1.519,91"
MESA REDONDA FITT 10835076 TRAMONTINA,"2.274,21"
MESA RETANGULAR FITT 10849076 TRAMONTINA,"2.411,96"
MESA REDONDA FITT 10835072 TRAMONTINA,"1.709,91"
MESA QUADRADA FITT 10834076 TRAMONTINA,"1.447,71"
Porta Social Bril 210X80 Esq J&C Esquadrias,"373,26"
MESA QUADRADA FITT 10834072 TRAMONTINA,"1.134,21"
MESA DE CENTRO FITT PEQUENA 10852076 TRAMONTINA,"788,41"
MESA DE CENTRO FITT PEQUENA 10852072 TRAMONTINA,"584,16"
MESA MULTIUSO TOP AMARELA 91390134 TRAMONTINA,"84,46"
"Mesa Retangular Bali Branco 92335010 Tramontina, ","362,90"
Mesa Quadrada Riviera Branco Tramontina,"166,16"
MESA DE CENTRO FITT GRANDE 10853072 TRAMONTINA,"822,61"
MESA DE CENTRO FITT GRANDE 10853076 TRAMONTINA,"1.073,41"
MESA BEER TABACO 10637064 TRAMONTINA,"314,45"
Mesa Quadrada Tambau Branco Tramontina,"104,41"
MESA RETANGULAR FITT 10849072 TRAMONTINA,"1.838,16"
"KIT BANHEIRO COM 2 PECAS KBB1/2*BRD BORDO ASTRA, ","32,78"
"Porta Piramidal 210X80 Esquerdo Batente11 18 Almofadas Uniportas, ","399,95"
"Porta Lisa Imbuía 210X72 Esquerdo Batente11 Eco Uniportas, ","246,05"
"Porta Camarão Lisa Amescla 210X72 Esquerdo Batente11 Uniportas, ","313,41"
"Porta Camarão Lisa Amescla 210X72 Direito Batente11 Uniportas , ","313,41"
PORTA SOCIAL BRIL 210X80 DIR J&C ESQUADRIAS,"373,26"
Mesa Redonda Acapulco Branco Tramontina,"351,41"
Mesa Clarice Concreto Tramontina,"338,11"
Mesa Clarice Azul Claro Tramontina,"338,11"
Mesa Clarice Marsala Tramontina,"338,11"
Cadeira Elena Verm Giratoria C/Base X Tramontina,"718,20"
Cadeira Elena Preto Perna Aco Pintado Tramontina,"397,96"
Cadeira Elena Base Central Branco Tramontina,"438,81"
Cadeira Elena Base Central Preto Tramontina,"438,81"
Cadeira Elena Vermel Perna Aco Pintado Tramontina,"397,96"
Cadeira Elena Base Central Vermelho Tramontina,"438,81"
Cadeira Elena Branco Perna Aco Pintado Tramontina,"388,46"
Cadeira Elena Branco Tramontina,"481,56"
Cadeira Elena Preto Tramontina,"494,86"
Cadeira Elena Vermelho Tramontina,"494,86"
Cadeira Com Bracos Victoria Vazad Verm Tramontina,"302,01"
Cadeira Com Bracos Victoria Vazad Preto Tramontina,"302,01"
Cadeira Com Bracos Victoria Fechad Bco Tramontina,"301,63"
Cadeira Com Bracos Victoria Vazad Bco Tramontina,"302,01"
Cadeira Com Bracos Victoria Vazad Amar Tramontina,"302,01"
Cadeira Com Bracos Victoria Fechad Pto Tramontina,"302,01"
Cadeira Com Bracos Victoria Fechad Verm Tramontina,"302,01"
Cadeira Victoria Encosto Vzd Horiz Amar Tramontina,"287,76"
Cadeira Victoria Encosto Vaz Horiz Pto Tramontina,"287,76"
Cadeira Diana Vermelho Tramontina,"212,71"
Cadeira Diana Azul Navy Tramontina,"212,71"
Cadeira Diana Marrom Tramontina,"212,71"
Cadeira Diana Branco Tramontina,"212,71"
Cadeira Diana Amarelo Tramontina,"212,71"
Cadeira Diana Preto Tramontina,"212,71"
Cadeira Guaruja Vermelho Tramontina,"82,56"
Cadeira Guaruja Verde Tramontina,"82,56"
Conjunto Beer Teca 1 Mesa+2 Cadeiras Tabaco Tramontina,"503,41"
Conjunto De Facas Inox 4 Pcs Tradicion 22299/041 Tramontina,"68,31"
Conjunto Potenza Verniz Com Vermelho 5 Pcs Tramontina,"1.086,71"
Conjunto Potenza Verniz Com Amarelo 5 Pcs Tramontina,"1.086,71"
Conjunto Potenza Tabaco Com Amarelo 5 Pcs Tramontina,"1.086,71"
Conjunto Potenza Verniz Com Azul 5 Pcs Tramontina,"1.086,71"
Conjunto Potenza Tabaco Com Azul 5 Pcs Tramontina,"1.086,72"
Conjunto Beer Teca 1 Mesa+2 Cadeiras Verniz Tramontina,"536,75"
Conjunto Potenza Tabaco Com Vermelho 5 Pcs Tramontina,"1.086,71"
Conjunto Potenza Tabaco Com Branco 5 Pcs Tramontina,"1.086,71"
Conjunto Beer Teca 1 Mesa+4 Cadeiras Tabaco Tramontina,"762,76"
Conjunto Beer Teca 1 Mesa+4 Cadeiras Verniz Tramontina,"762,76"
Puff Multiuso Amarelo Tramontina,"115,81"
Puff Multiuso Azul Tramontina,"115,81"
Puff Multiuso Rosa Tramontina,"115,81"
Puff Multiuso Vermelho Tramontina,"115,81"
Puff Multiuso Branco Tramontina,"115,81"
Conjunto Beer 1 Mesa+4 Cadeiras Verniz Tramontina,"962,35"
"Forno Micro-Ondas Embu 25L Glass 60  220V 94880002 Tramontina, ","2.450,05"
Mesa Clarice Branco Tramontina,"338,20"
"Forno Micro-Ondas Embutir 25L Inox 60 220V 94880001 Tramontina, ","2.450,05"
Cadeira Guaruja Amarelo Tramontina,"82,56"
Forno Elétrico Slim Touch 60 F12 220V  94879220 Tramontina,"5.062,55"
Forno Elétrico New Glass Cook B 60 F7 220V 94867220  Tramontina,"2.459,55"
"Forno Elétrico New Inox Cook 60 F7 220V 94866220 Tramontina, , ","2.611,55"
Forno Elétrico Glass Brasil B60 F3 220V  94865220 Tramontina,"2.136,55"
Conjunto Beer 1 Mesa+4Cadeiras Tabaco Tramontina,"962,35"
Puff Multiuso Preto Tramontina,"115,81"
Banqueta Niteroi Preto Tramontina,"18,91"
Banqueta Icarai Branco Tramontina,"27,46"
Banqueta Escada Janga Branco Tramontina,"77,90"
Banqueta Niteroi Amarelo Tramontina,"31,26"
Banqueta Niteroi Azul Tramontina,"26,51"
Cooktop Gas Inox New Penta 5G X Tri75 Tramontina,"1.500,05"
"Forno Elétrico Maxi Inox 90 F8 220V 94855221 Tramontina, ","7.437,55"
Cooktop Inox Brasil Gas 4G X 60  Tramontina,"721,05"
Cooktop Gas Brasil 5Gg Tri70 Preto Tramontina,"835,05"
Cooktop Inox Square 4Gx Tri 60 Tramontina,"1.310,05"
Cooktop Gas Preto Penta 5Gg Tri70 Tramontina,"1.519,05"
Cooktop Penta Side Plus W 5Gg Tri90 Branco Tramontina,"1.671,05"
Cooktop Gas Glass Brasil 5Gg 70 Preto Tramontina,"759,05"
COOKTOP PENTA SIDE PLUS W 5GG TRI90 PTO TRAMONTINA,"1.623,55"
Cooktop Gas Glass Brasil 4Gg Tri 70 Preto Tramontina,"711,55"
Banqueta Niteroi Branco Tramontina,"26,51"
Churrasqueira Tijolinho 055 Mgv,"474,05"
Cooktop Gas Glass Brasil 4Gg 55 Vidro Temperado Tramontina,"635,55"
Coifa Inox New Dritta 60Cm 127V Tramontina,"1.547,55"
"COIFA INOX DE EMBUTIR INCASSO 75CM  220V TRAMONTINA, ","1.851,55"
COIFA INOX DE EMBUTIR INCASSO 75CM 127V  TRAMONTINA,"1.851,55"
"Depurador Inox Telescopio 60Cm 127V 94810005 Tramontina, ","759,05"
Coifa Inox+Vidro New Vetro 90 Cm 127 Tramontina,"1.642,55"
Coifa Inox New Dritta 90Cm 220V Tramontina,"1.642,55"
Coifa Inox New Dritta 60Cm 220V Tramontina,"1.547,55"
"Depurador Inox Telescopio 60Cm 220V 94810006 Tramontina, ","759,05"
Coifa Inox+Vidro New Vetro 60Cm 220 Tramontina,"1.547,55"
Coifa Inox+Vidro New Vetro 60Cm 127 Tramontina,"1.547,55"
Coifa Inox New Dritta 90Cm 127V Tramontina,"1.642,55"
Lixeira Retangular Com Pedal Plastico Preto 6 Litros Primafer,"26,51"
Lixeira Retangular com Pedal Plastico Vermelha 6 Litros Primafer,"26,51"
Lixeira 5L Agata 8222 Mor,"43,70"
Lixeira 3L Agata 8221  Mor,"37,91"
"Cesto Rattan Cobre 7,5L Stamplas","56,91"
Lixeira Retangular com Pedal Plastico Branco 6 Litros Primafer,"26,51"
Lixeira 3L + Escova Hig Pt Agata  8335 Mor,"66,41"
Cesto Multiuso Bege Aquaplas,"21,38"
Cesto Multiuso Preto Aquaplas,"21,38"
Cesto Multiuso Branco Aquaplas,"21,38"
"Cesto Rattan Preto 7,5L Stamplas","56,91"
"Cesto Rattan Ouro 7,5L Stamplas","56,91"
"Cesto Rattan Branco 7,5L Stamplas","56,91"
Vassourão At9007A Atlas,"24,61"
Vassoura Para Canto Com Cabo At888 Atlas,"14,16"
Vassoura Pelo Com Cabo At303 Atlas,"14,16"
Pa de Lixo com Cabo At150 Atlas,"20,81"
Rodo Medio At2028 Atlas,"17,01"
Churrasqueira Media 5081 Churras Pop,"94,91"
Grelha 50 X 50 Churras Pop,"73,06"
"CHURRASQUEIRA ESMALTADA A BAFO 46CM  GUARAPARI 3052 MOR, ","189,91"
"CHURRASQUEIRA CALIFÓRNIA BACIA ESMALTADA 3011 MOR, ","136,71"
Churrasqueira Grande 5074 Churras Pop,"123,41"
Churrasqueira Pequena Churras Pop,"85,41"
Coifa Inox+Vidro New Vetro 90 Cm 220 Tramontina,"1.642,55"
Lixeira Retangular com Pedal Plastico Amarelo 6 Litros Primafer,"26,51"
VASSOURA LIMPEZA PESADA AT3020 ATLAS,"15,11"
BOMBA SUBMERSA SAPECA 280W 127V RAYMA,"217,55"
Cabo Transf Carga P/Bateria 3Fx-1 Eda,"28,41"
VENTILADOR TETO FENIX BR 3P CV3 127V VENTISOL,"161,41"
Broca Sds Plus 16Mm X 210Mm Bosch,"40,76"
Martelete 750W 1859 220V Skil,"550,91"
Esmerilhadeira Ang Gws 7-115 220V Bosch,"344,85"
Parafusadeira /Furad Bateria Gsr 120 Li Bosch,"569,05"
Serra Tico Tico Gst 700 500W 227V Bosch,"469,21"
Janela 4F Bril S/G S/B 100X150 J&C Esquadrias,"240,26"
Janela 4F Bril S/G S/B 100X120 J&C Esquadrias,"185,16"
Janela 4F Bco S/G S/B 100X150 J&C Esquadrias,"272,18"
Aquecedor A Gás Lz1600N Gn 7412096 Lorenzetti,"1.099,06"
Janela 4 Folhas Branco C/ Grade S/B 100X150 J&C Esquadrias,"377,06"
Serra Circular 1623 Gks 190 1400W 220V Bosch,"655,41"
Pulverizador Compressão Prévia 2 Litros 78610/200 Tramontina,"44,56"
Broca Para Concreto Multi Construction 12Mm Bosch,"31,26"
Sacho Coração Com Cabo 43Cm 77800/201 Tramontina,"24,70"
Lavadora De Alta Pressão Lav 1400w 110v Vonder,"359,10"
Vassoura Multiuso Com Cabo At2003  Atlas,"13,21"
Janela 4 Folhas Branco C/ Grade S/B 100X120 J&C Esquadrias,"300,11"
Furadeira S/Impacto 1472 Gbm 6 Re 22Ov Bosch,"284,05"
Lavadora Alta Pressao 1200W 127V Tramontina,"332,41"
Sacho Duas Pontas Com Cabo 43Cm 77802/201 Tramontina,"24,61"
Lavadora De Alta Pressão Lav 1400W 220V Vonder,"359,10"
Janela 4F Bco S/G S/B 100X120 J&C Esquadrias,"199,41"
Veneziana 6F Bril C/G 100X120 J&C Esquadrias,"379,91"
Vassoura Jard Plas 26D Cabo 120 Tramontina,"37,91"
Pulverizador Manual 1 Litro 78605/100 Tramontina,"17,01"
Vassoura Para Jardim Plastica 18 Dentes Cabo 120Cm Tramontina,"25,56"
Veneziana 6F Bco S/G 100X120 J&C Esquadrias,"395,11"
Vassoura Para Jardim Metálica 22 Dentes Regulável Cabo 120 Tramontina,"31,26"
Veneziana 6F Bco C/G 100X120 J&C Esquadrias,"455,91"
Veneziana 6F Bril C/G 100X150 J&C Esquadrias,"474,91"
Veneziana 6F Bril S/G 100X150 J&C Esquadrias,"424,56"
Veneziana 6F Bco C/G 100X150 J&C Esquadrias,"474,91"
Veneziana 6F Bco S/G 100X150 J&C Esquadrias,"492,01"
Porta Balc Bril 3F 210X120 J&C Esquadrias,"1.033,60"
Jogo De Facas C/2 Un 2607000096 Bosch,"72,11"
Jogo De Facas Hss 2607000193 Bosch,"94,91"
Cinta De Lixa C/3 Un Gr.100 Bosch,"26,51"
"Plaina 3.1/4"" 1555 82Mm  550W 220V Skil","486,40"
Politriz 1400W 180Mm M14 220V Agm1084P Ferm,"567,06"
Arrancador De Inco Com Cabo De Madeira 77910/001 Tramontina,"7,51"
Mangueira Jardinagem Flexivel com Engate 30Cm 79172/300 Tramontina,"77,81"
Mangueira Jardinagem Flex Engate 25M 7917250 Tramontina,"74,96"
Mangueira Jardinagem Flex Engate 15M  79172150  Tramontina,"50,26"
"CONECTOR P/TORNEIRA 1/2"" 3/4"" LJ 98644 AMANCO","3,71"
ESGUICHO 8 JATOS 98640 AMANCO,"25,46"
Ligação Reparadora Para Mangueiras De Jardim 78510/750 Tramontina,"4,28"
Pedra 1 Brita Por Saco 20Kg,"3,04"
Areia Jacarei Fina Por Saco 20Kg,"3,61"
Areia Media Jacarei Por Saco 20Kg,"3,61"
Lona Plastica 4X3 Cristal Plasilona,"17,96"
Lona Plastica 5X4 Azul Plasilona,"24,70"
Lona Plastica 5X4 Cristal Plasilona,"25,56"
Lona Plastica 3X2 Cristal Plasilona,"9,41"
Lona Plastica 4X4 Azul Plasilona,"20,90"
Lona Plastica 4X4 Cristal Plasilona,"21,76"
AQUATEC TOP 18KG ARGATEX,"37,91"
Vedacit 18Lt Otto Baumgart,"85,41"
Bianco 1Kg Otto Baumgart,"28,41"
"Vedacit Rapidissimo 1,4Kg Otto Baumgart","23,66"
Vedapren Branco 18Lt Otto Baumgart,"261,16"
"AQUATEC FLEX 18KG ARGATEX, ","138,61"
Vedapren Preto 18Lt Otto Baumgart,"226,58"
"Vedacit Rapidissimo Galao 3,6Lt Otto Baumgart","47,41"
Rejunte P/Porcelanato 5Kg Cz Plat Quartzolit,"33,16"
Fita Multiuso Auto Adesiva 30Cm C/10Mt Otto,"75,91"
Massa Pronta 20Kg Cinza Votomassa,"9,49"
Rejunte Flex 5Kg Hortela Quartzolit,"28,49"
Rejunte Flex 5Kg Cz Platina Quartzolit,"17,96"
Rejunte P/Porcelanato 5Kg Bco Quartzolit,"33,16"
Rejunte Flex 5Kg Marr Tabaco Quartzolit,"17,96"
Rejunte P/Porcelanato 5Kg Palha Quartzolit,"33,16"
"Betoneira Cs-200L Painel Mono 0,75Cv 220V Csm","2.399,61"
Betoneira 1 Traço Sup 400L Painel Mon 2Cv 127V Csm,"3.100,80"
Fita Multiuso Auto Adesiva 20Cm C/10Mt Otto,"51,21"
Manta Asfaltica Alumínio 3Mmx10Mt Vedamax,"202,26"
Vedacit 1Kg Otto Baumgart,"17,96"
ARGAFIX 18LT ARGATEX,"132,91"
"Vedapren Preto Galao 3,6Lt Otto Baumgart","62,61"
Carbolastico N2 1Kg Otto Baumgart,"30,31"
Neutrol Acqua 900Ml Otto Otto Baumgart,"21,38"
Primer Manta 18Lt Otto Baumgart,"245,01"
"Desmol Cd Galao 3,6Lt Otto Baumgart","47,03"
Vedatex Pacote 73X10M Otto Baumgart,"37,91"
Penetrol Cupim 400Ml Spray Otto Baumgart,"28,03"
Carbolastico N2 4Kg Galao Otto Baumgart,"100,70"
"Primer Manta Galao 3,6Lt Otto Baumgart","75,91"
Manta Liquida Vedapren Fast Br 15Kg Otto Baumgart,"242,16"
Vedalit 18L Otto Baumgart,"121,22"
Silicone Bastao Incolor 226G Vedacit,"40,76"
Projetor Para Jardim Com Tampa E1035  Preto Ideal,"37,91"
Projetor Para Jardim Com Tampa E1035 Banco Ideal,"37,91"
Manta Liquida Vedapren Fast Br 5Kg Otto Baumgart,"107,83"
CIMENTO CPII 50KG CAUE,"22,71"
